id,name,address,city,state,zip,longitude,latitude
136,Chelsea Street,2310 SW Military,,Texas,78224,-98.605345,29.340932
137,Cherrity Bar,302 Montana Street,San Antonio,Texas,78203,-98.475943,29.4183
138,Cibolo Creek Country Club,8640 East Evans Road,San Antonio,Texas,78266,-98.316916,29.601428
139,Cibolo Nature Center,140 City Park Road,Boerne,Texas,78006,-98.709097,29.781648
140,Circle B&R,3603 S WW White Road,San Antonio,Texas,78222,-98.404747,29.362979
141,City Limits Cantina,17200 Bandera Road,San Antonio,Texas,78203,-98.461836,29.437559
142,Clay's Ice House,6727 S Zarzamora,San Antonio,Texas,78224,-98.53443,29.36069
143,Clem's Old Fashioned Barbeque,1615 N Zarzamora,San Antonio,Texas,78201,-98.525017,29.444505
144,Clown Alley,5520 SW Military,San Antonio,Texas,78242,-98.613368,29.376452
145,Club 181,8902 South Presa,San Antonio,Texas,78223,-98.451473,29.33475
146,Club Abrazo,434 S Alamo St ,San Antonio,Texas,78205,-98.487966,29.419552
147,Club Country,10929 Nacogdoches,San Antonio,Texas,78217,-98.422985,29.539699
148,Club Eldorado,1918 Wyoming Street,San Antonio,Texas,78203,-98.46013,29.41774
149,Club Miami,3534 Fredricksburg,San Antonio,Texas,78201,-98.538227,29.477421
150,Club Movida,306 E Mitchell St,San Antonio,Texas,78210,-98.488405,29.391628
151,Club Oasis,1720 North Main,San Antonio,Texas,78212,-98.494218,29.445884
152,Club Reflex,3740 NW 410,San Antonio,Texas,78229,-98.569102,29.523837
153,Club Ricardo,514 River Walk,San Antonio,Texas,78205,-98.487694,29.424339
154,Club Ron Rico,2012 Broadway,San Antonio,Texas,78215,-98.482663,29.450211
155,Club Sirius,228 Losoya St,San Antonio,Texas,78205,-98.487607,29.424623
156,Club Vortex,1720 N. Main Avenue,San Antonio,Texas,78212,-98.494218,29.445884
157,Co Lab,723 N Alamo St,San Antonio,Texas,78215,-98.482302,29.43188
158,Cobalt Club,2022 McCullough,San Antonio,Texas,78212,,
159,Coco Beach,2725 N. St. Mary's,San Antonio,Texas,78212,,
160,Comanche Ice House,2603 Rigsby,San Antonio,Texas,78222,,
161,Come On Inn,1735 Fair Ave,San Antonio,Texas,78223,-98.448655,29.384287
162,Conglomeration,4923 NW 410,San Antonio,Texas,78229,-98.584299,29.490035
163,Connor's Night Club,2022 McCullough Ave,San Antonio,Texas,78212,-98.491605,29.448875
164,Conroy's Irish Pub,9091 Fair Oaks Pkwy,Boerne,Texas,78015,-98.664812,29.720585
165,Continental Cafe,6390 Fairdale Dr,San Antonio,Texas,78218,-98.405075,29.485378
166,Conway's,262 W. Jahn Street,New Braunfels,Texas,78130,-98.119612,29.697039
167,Cooter Brown's,7022 Seco Creek,San Antonio,Texas,78256,,
168,Cooter Browns Saloon,11881 Bandera Rd,Helotes,Texas,78023,-98.670186,29.555345
169,Cootey's Tavern,8318 Jones Maltsberger Rd,San Antonio,Texas,78216,-98.480649,29.513741
170,Corner Pocket Bar,2363 Austin Hwy,San Antonio,Texas,78218,-98.410805,29.508199
171,Cottonwood Country Club,1225 West Commerce,,Texas,78207,-98.620397,29.436128
172,Country Cabaret,839 FM 467,Seguin,Texas,78155,-97.974159,29.536249
173,Country Down Under,622 NW Loop 410,San Antonio,Texas,78216,,
174,Country Gold,7405 Old Pearsall Road,San Antonio,Texas,78252,-98.64514,29.323885
175,Country on the Rocks,8024 Cross Creek,San Antonio,Texas,78218,,
176,Country Road Ballroom,15624 S US Highway 281,San Antonio,Texas,78221,-98.47054,29.26674
177,County Line - Downtown,111 W Crockett St #104,San Antonio,Texas,78205,-98.489094,29.425241
178,County Line- I 10,10101 Interstate 10 Frontage Rd.,San Antonio,Texas,78230,-98.567315,29.537484
179,Courtyard,11403 West Avenue,,Texas,78213,-98.523695,29.510289
180,Cowboys Dance Hall,3030 NE Interstate 410 Loop,San Antonio,Texas,78218,-98.398168,29.517595
181,Coyote Ugly Saloon,409 E Commerce St,San Antonio,Texas,78205,-98.488553,29.424173
182,Coyote's,8759 Grissom Road,San Antonio,Texas,78251,-98.641084,29.481578
183,Crazy Darryl's,3600 Fredericksburg Road,San Antonio,Texas,78201,-98.532753,29.357093
184,Crazy J's Sports Bar,126 Gembler Road,San Antonio,Texas,78219,-98.43303,29.43519
185,Crockett Park,"1300 N Main Ave,",San Antonio,Texas,78212,-98.494756,29.441614
186,Crumpets Restaurant & Bakery,3920 Harry Wurzbach Rd,San Antonio,Texas,78209,-98.434103,29.506214
187,Crystal Sea Drama Co Inc,8414 Speedway Dr,San Antonio,Texas,78230,-98.531304,29.517141
188,Cuatro Aces,1110 Pleasanton Rd,San Antonio,Texas,78214,-98.504037,29.373085
189,Cured at Pearl,306 Pearl Pkwy #101,San Antonio,Texas,78215,-98.479965,29.441938
190,Cyrano's,8401 Datapoint,San Antonio,Texas,78229,-98.569908,29.517585
191,Da Silva's,2611 Broadway,San Antonio,Texas,78215,-98.482663,29.450211
192,Dad's,2615 Mossrock,San Antonio,Texas,78230,-98.535767,29.513465
193,Dad's Karaoke,2615 Mossrock,San Antonio,Texas,78230,-98.535767,29.513465
194,Daiquiri Lounge,630 N. New Braunfels Ave.,San Antonio,Texas,78202,-98.460775,29.42758
195,Danceland,427 East Josephine,San Antonio,Texas,78215,,
196,D'Angelo's,3921 Naco-Perrin,San Antonio,Texas,78217,-98.417179,29.543908
197,Daniel's Brooklyn Street,516 Brooklyn Street,San Antonio,Texas,78215,-98.484589,29.43321
