Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
August,18,2021,Reptilez Live Music Venue,"Waking the Sleeper, VSPR, Subsidium",VSPR,,18784
August,18,2021,Reptilez Live Music Venue,"Waking the Sleeper, VSPR, Subsidium",Subsidium,,18784
August,18,2021,Sancho's Cantina and Cocina,The Ken Williams Trio,The Ken Williams Trio,,18785
August,18,2021,The Mix,DJ Ely Bat,DJ Ely Bat,,18786
August,18,2021,Thirsty Horse Saloon,Dylan Wheeler,Dylan Wheeler,,18787
August,19,2021,FRIDA Mexican Restaurant and Bar,Johnny P. & the Wiseguys,Johnny P. & the Wiseguys,,18788
August,19,2021,Sabor del Pueblo Mexican Cuisine,Joe Posada,Joe Posada,,18789
August,20,2021,Alamodome,"Def Leopard, Motley Crue, Poison, Joan Jett and the Blackhearts",Def Leopard,,18790
August,20,2021,Alamodome,"Def Leopard, Motley Crue, Poison, Joan Jett and the Blackhearts",Motley Crue,,18790
August,20,2021,Alamodome,"Def Leopard, Motley Crue, Poison, Joan Jett and the Blackhearts",Poison,,18790
August,20,2021,Alamodome,"Def Leopard, Motley Crue, Poison, Joan Jett and the Blackhearts",Joan Jett and the Blackhearts,,18790
August,20,2021,502 Bar,"Southpaux, Chach, San Venice",Southpaux,,18791
August,20,2021,502 Bar,"Southpaux, Chach, San Venice",Chach,,18791
August,20,2021,502 Bar,"Southpaux, Chach, San Venice",San Venice,,18791
August,20,2021,Whitewater Amphitheater,Miranda Lambert,Miranda Lambert,,18792
August,20,2021,Reptilez Live Music Venue,Toshiyo Ghoul,Toshiyo Ghoul,,18793
August,21,2021,The Rock Box,"Strawberry Girls, Andres, Amorionette, Thomas Erak, Donella Drive",Strawberry Girls,,18794
August,21,2021,The Rock Box,"Strawberry Girls, Andres, Amorionette, Thomas Erak, Donella Drive",Andres,,18794
August,21,2021,The Rock Box,"Strawberry Girls, Andres, Amorionette, Thomas Erak, Donella Drive",Amorionette,,18794
August,21,2021,The Rock Box,"Strawberry Girls, Andres, Amorionette, Thomas Erak, Donella Drive",Thomas Erak,,18794
August,21,2021,The Rock Box,"Strawberry Girls, Andres, Amorionette, Thomas Erak, Donella Drive",Donella Drive,,18794
August,21,2021,Hermann Sons Ballroom,Chicanos of Soul,Chicanos of Soul,,18795
August,21,2021,Whitewater Amphitheater,Miranda Lambert,Miranda Lambert,,18796
August,22,2021,Whitewater Amphitheater,Miranda Lambert,Miranda Lambert,,18797
August,22,2021,The Redbird Listening Room,"The Reed Brothers, Nate Rodriguez",The Reed Brothers,,18798
August,22,2021,The Redbird Listening Room,"The Reed Brothers, Nate Rodriguez",Nate Rodriguez,,18798
August,24,2021,502 Bar,"Small Black, Korine, Film Strips",Small Black,,18799
August,24,2021,502 Bar,"Small Black, Korine, Film Strips",Korine,,18799
August,24,2021,502 Bar,"Small Black, Korine, Film Strips",Film Strips,,18799
August,25,2021,Paper Tiger,Nanpa Biasco,Nanpa Biasco,,18800
August,25,2021,502 Bar,"Texas Hill (Adam Wakefield, Casey James and Craig Wayne Boyd), Madlaw",Texas Hill (Adam Wakefield,,18801
August,25,2021,502 Bar,"Texas Hill (Adam Wakefield, Casey James and Craig Wayne Boyd), Madlaw",Casey James and Craig Wayne Boyd),,18801
August,25,2021,502 Bar,"Texas Hill (Adam Wakefield, Casey James and Craig Wayne Boyd), Madlaw",Madlaw,,18801
August,26,2021,Gruene Hall,Kevin Costner & Modern West,Kevin Costner & Modern West,,18802
August,26,2021,Jandro's Garden Patio,Going Nowhere,Going Nowhere,,18803
August,26,2021,"Jazz, TX",Aubrey Logan,Aubrey Logan,,18804
August,26,2021,Krause's Cafe,Chris Cuevas Project,Chris Cuevas Project,,18805
August,26,2021,Paper Tiger,"Little Jesus, Natewantstobattle, Vespera",Little Jesus,,18806
August,26,2021,Paper Tiger,"Little Jesus, Natewantstobattle, Vespera",Natewantstobattle,,18806
August,26,2021,Paper Tiger,"Little Jesus, Natewantstobattle, Vespera",Vespera,,18806
August,26,2021,Picks Bar,Nef Hernandez,Nef Hernandez,,18807
August,26,2021,Sam's Burger Joint,Jomo & The Possum Posse,Jomo & The Possum Posse,,18808
August,26,2021,Sancho's Cantina and Cocina,The Other Bandaholics,The Other Bandaholics,,18809
August,26,2021,The Cove,Will Owen Gage,Will Owen Gage,,18810
August,26,2021,The Good Place Southtown,DT Buffkin,DT Buffkin,,18811
August,26,2021,The Rustic,Ponciano Seoane,Ponciano Seoane,,18812
August,26,2021,Thirsty Horse Saloon,Mario Flores,Mario Flores,,18813
August,26,2021,TSR Texas Ski Ranch,Island Mind,Island Mind,,18814
August,26,2021,502 Bar,Colleens,Colleens,,18815
August,27,2021,Paper Tiger,Awesome Sound (Ween tribute band),Awesome Sound (Ween tribute band),,18816
August,28,2021,502 Bar,The Goon Squad,The Goon Squad,,18817
August,29,2021,The Redbird Listening Room,Jason Eady,Jason Eady,,18818
September,1,2021,Fitzgerald's,Jeffrey Dallet,Jeffrey Dallet,,18819
September,2,2021,Wilson County Expo and Community Center,Tom and Bri Teboe,Tom and Bri Teboe,,18820
September,2,2021,"Jazz, TX",Johnny P. & the Wiseguys,Johnny P. & the Wiseguys,,18821
September,2,2021,502 Bar,"Colleens, Josh Glenn",Colleens,,18822
September,2,2021,502 Bar,"Colleens, Josh Glenn",Josh Glenn,,18822
September,3,2021,Vibes Event Center,"Beartooth, Wage War, Dragged Under",Beartooth,,18823
September,3,2021,Vibes Event Center,"Beartooth, Wage War, Dragged Under",Wage War,,18823
September,3,2021,Vibes Event Center,"Beartooth, Wage War, Dragged Under",Dragged Under,,18823
September,3,2021,Paper Tiger,Max Bemis (Say Anything),Max Bemis (Say Anything),,18824
September,5,2021,The Redbird Listening Room,"Claude Butch Morgan, Ken Gaines",Claude Butch Morgan,,18825
September,5,2021,The Redbird Listening Room,"Claude Butch Morgan, Ken Gaines",Ken Gaines,,18825
September,7,2021,Vibes Event Center,Between the Buried and Me,Between the Buried and Me,,18826
September,9,2021,AT&T Center,Harry Styles,Harry Styles,,18827
September,9,2021,502 Bar,"Colleens, Jeff Glatz",Colleens,,18828
September,9,2021,502 Bar,"Colleens, Jeff Glatz",Jeff Glatz,,18828
September,10,2021,The Martini Club,Soul Grammar,Soul Grammar,,18829
September,12,2021,The Redbird Listening Room,Joe Tidwell,Joe Tidwell,,18830
September,14,2021,Aztec Theater,"The Dead South, The Hooten Hallers",The Dead South,,18831
September,14,2021,Aztec Theater,"The Dead South, The Hooten Hallers",The Hooten Hallers,,18831
September,14,2021,La Hacienda de Los Barrios,Matt Krivec,Matt Krivec,,18832
September,14,2021,Tobin Center for the Performing Arts,Herbie Hancock,Herbie Hancock,,18833
September,14,2021,Vibes Event Center,"Makari, Adventurer, Coletta",Makari,,18834
September,14,2021,Vibes Event Center,"Makari, Adventurer, Coletta",Adventurer,,18834
September,14,2021,Vibes Event Center,"Makari, Adventurer, Coletta",Coletta,,18834
September,15,2021,Gruene Hall,The Georges,The Georges,,18835
September,15,2021,"Jazz, TX",Jane Monheit,Jane Monheit,,18836
September,15,2021,Majestic Theatre,"""Earth, Wind & Fire""","Earth, Wind & Fire",,18837
September,15,2021,Sam's Burger Joint,"EG Vines, Joshua Ray Summey",EG Vines,,18838
September,15,2021,Sam's Burger Joint,"EG Vines, Joshua Ray Summey",Joshua Ray Summey,,18838
September,15,2021,The Mix,DJ Ely Bat,DJ Ely Bat,,18839
September,15,2021,Vibes Event Center,"Immortal Guardian, Jessikill, Metalriser, Just a Dream",Immortal Guardian,,18840
September,15,2021,Vibes Event Center,"Immortal Guardian, Jessikill, Metalriser, Just a Dream",Jessikill,,18840
September,15,2021,Vibes Event Center,"Immortal Guardian, Jessikill, Metalriser, Just a Dream",Metalriser,,18840
September,15,2021,Vibes Event Center,"Immortal Guardian, Jessikill, Metalriser, Just a Dream",Just a Dream,,18840
September,15,2021,Hotel Emma-Sternewirth,Henry Brun & the International Trio,Henry Brun & the International Trio,,18841
September,16,2021,502 Bar,"Colleens, Emily Monsen",Colleens,,18842
September,16,2021,502 Bar,"Colleens, Emily Monsen",Emily Monsen,,18842
September,17,2021,The Rock Box,"Hail the Sun, Kurt Travis, Kaonashi, Body Thief",Hail the Sun,,18843
September,17,2021,The Rock Box,"Hail the Sun, Kurt Travis, Kaonashi, Body Thief",Kurt Travis,,18843
September,17,2021,The Rock Box,"Hail the Sun, Kurt Travis, Kaonashi, Body Thief",Kaonashi,,18843
September,17,2021,The Rock Box,"Hail the Sun, Kurt Travis, Kaonashi, Body Thief",Body Thief,,18843
September,17,2021,Vibes Event Center,"Teenage Wrist, Worst Party Ever",Teenage Wrist,,18844
September,17,2021,Vibes Event Center,"Teenage Wrist, Worst Party Ever",Worst Party Ever,,18844
September,18,2021,Vibes Event Center,"Terror, Drain, One Step Closer, Dare",Terror,,18845
September,18,2021,Vibes Event Center,"Terror, Drain, One Step Closer, Dare",Drain,,18845
September,18,2021,Vibes Event Center,"Terror, Drain, One Step Closer, Dare",One Step Closer,,18845
September,18,2021,Vibes Event Center,"Terror, Drain, One Step Closer, Dare",Dare,,18845
September,19,2021,Traders Village,"Fiesta Patrias: Sunny Ozuna, Los Fantasticos, Devin Banda (with Leo y Temptacion)",Sunny Ozuna,Fiesta Patrias,18846
September,19,2021,Traders Village,"Fiesta Patrias: Sunny Ozuna, Los Fantasticos, Devin Banda (with Leo y Temptacion)",Los Fantasticos,Fiesta Patrias,18846
September,19,2021,Traders Village,"Fiesta Patrias: Sunny Ozuna, Los Fantasticos, Devin Banda (with Leo y Temptacion)",Devin Banda (with Leo y Temptacion),Fiesta Patrias,18846
September,19,2021,Charline McCombs Empire Theater,"Jazz's Gospel Brunch: Kara Nichole & DJ Sermon, David Jacobe featuring Andrea “Vocab” Sanderson",Kara Nichole & DJ Sermon,Jazz's Gospel Brunch,18847
September,19,2021,Charline McCombs Empire Theater,"Jazz's Gospel Brunch: Kara Nichole & DJ Sermon, David Jacobe featuring Andrea “Vocab” Sanderson",David Jacobe featuring Andrea “Vocab” Sanderson,Jazz's Gospel Brunch,18847
September,19,2021,Aztec Theater,El Tri,El Tri,,18848
September,19,2021,The Rustic,"Son Little, Steven Curd",Son Little,,18849
September,19,2021,The Rustic,"Son Little, Steven Curd",Steven Curd,,18849
September,19,2021,Sam's Burger Joint,Acoustic 57,Acoustic 57,,18850
September,19,2021,Gruene Hall,"Linda Gail Lewis, Andrea Magee Band",Linda Gail Lewis,,18851
September,19,2021,Gruene Hall,"Linda Gail Lewis, Andrea Magee Band",Andrea Magee Band,,18851
September,19,2021,The Cove,Miss Nessie and the Earfood Orchestra,Miss Nessie and the Earfood Orchestra,,18852
September,19,2021,Sancho's Cantina and Cocina,The Professor UnderFunk,The Professor UnderFunk,,18853
September,19,2021,Backyard on Broadway,"Chris Taylor, Mitch Webb",Chris Taylor,,18854
September,19,2021,Backyard on Broadway,"Chris Taylor, Mitch Webb",Mitch Webb,,18854
September,19,2021,River Road Ice House,Jackyl,Jackyl,,18855
September,19,2021,Freheit Country Store,Jamie Weston,Jamie Weston,,18856
September,19,2021,Jamie's Place,Joe Zimmerle Conjunto Band,Joe Zimmerle Conjunto Band,,18857
September,19,2021,Krause's Cafe,Julian Escobedo,Julian Escobedo,,18858
September,19,2021,The Redbird Listening Room,Mustxrd,Mustxrd,,18859
September,21,2021,502 Bar,"Homeboy Sandman, Nolan",Homeboy Sandman,,18860
September,21,2021,502 Bar,"Homeboy Sandman, Nolan",Nolan,,18860
September,22,2021,Paper Tiger,Lucy Dacus,Lucy Dacus,,18861
September,22,2021,Vibes Event Center,"Loma Shore, Enterprise Earth, Sentinels, Crown Magnatar",Loma Shore,,18862
September,22,2021,Vibes Event Center,"Loma Shore, Enterprise Earth, Sentinels, Crown Magnatar",Enterprise Earth,,18862
September,22,2021,Vibes Event Center,"Loma Shore, Enterprise Earth, Sentinels, Crown Magnatar",Sentinels,,18862
September,22,2021,Vibes Event Center,"Loma Shore, Enterprise Earth, Sentinels, Crown Magnatar",Crown Magnatar,,18862
September,23,2021,502 Bar,"Heir Max, Chris Conde",Heir Max,,18863
September,23,2021,502 Bar,"Heir Max, Chris Conde",Chris COnde,,18863
September,24,2021,Travis Park,"38th Annual Jazz's Alive: Kandace Springs, Mike Sailors & The Higher Calling Orchestra, Katchie Cartwright & Her Brazilian Trio, The Fellowship",Kandace Springs,38th Annual Jazz's Alive,18864
September,24,2021,Travis Park,"38th Annual Jazz's Alive: Kandace Springs, Mike Sailors & The Higher Calling Orchestra, Katchie Cartwright & Her Brazilian Trio, The Fellowship",Mike Sailors & The Higher Calling Orchestra,38th Annual Jazz's Alive,18864
September,24,2021,Travis Park,"38th Annual Jazz's Alive: Kandace Springs, Mike Sailors & The Higher Calling Orchestra, Katchie Cartwright & Her Brazilian Trio, The Fellowship",Katchie Cartwright & Her Brazilian Trio,38th Annual Jazz's Alive,18864
September,24,2021,Travis Park,"38th Annual Jazz's Alive: Kandace Springs, Mike Sailors & The Higher Calling Orchestra, Katchie Cartwright & Her Brazilian Trio, The Fellowship",The Fellowship,38th Annual Jazz's Alive,18864
September,24,2021,Legacy Park,"38th Annual Jazz's Alive: Jknodic, The Jazz Standard ft. The Anthony Thomas Quartet, Billy Ray Sheppard",Jknodic,38th Annual Jazz's Alive,18865
September,24,2021,Legacy Park,"38th Annual Jazz's Alive: Jknodic, The Jazz Standard ft. The Anthony Thomas Quartet, Billy Ray Sheppard",The Jazz Standard ft. The Anthony Thomas Quartet,38th Annual Jazz's Alive,18865
September,24,2021,Legacy Park,"38th Annual Jazz's Alive: Jknodic, The Jazz Standard ft. The Anthony Thomas Quartet, Billy Ray Sheppard",Billy Ray Sheppard,38th Annual Jazz's Alive,18865
September,24,2021,Rock and Rye,Johnny P. & the Wiseguys,Johnny P. & the Wiseguys,,18866
September,24,2021,Hopscotch,DJ Gibb,DJ Gibb,,18867
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",John Scofield’s 2021 Quartet Featuring Vicente Archer,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Kevin Hays & Bill Stewart,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Mike Sailor’s Sextet featuring Andre Hayward,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",The Dirty River Jazz Band,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",José Amador & TERRA NOVA,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Xenobia,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",UTSA Jazz Ensemble,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Children’s Activation,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Kevin Nabors Quintet,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Michelle Garibay-Carey,38th Annual Jazz's Alive,18868
September,25,2021,Travis Park,"38th Annual Jazz's Alive: John Scofield’s 2021 Quartet Featuring Vicente Archer, Kevin Hays & Bill Stewart, Mike Sailor’s Sextet featuring Andre Hayward, The Dirty River Jazz Band, José Amador & TERRA NOVA, Xenobia, UTSA Jazz Ensemble, Children’s Activation, Kevin Nabors Quintet, Michelle Garibay-Carey, Toro Flores Quartet",Toro Flores Quartet,38th Annual Jazz's Alive,18868
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",Three Swings and a Miss,38th Annual Jazz's Alive,18869
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",Bexar Brass,38th Annual Jazz's Alive,18869
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",Rat King Cole,38th Annual Jazz's Alive,18869
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",Xy!o ft. Chris “Kra” Malacara,38th Annual Jazz's Alive,18869
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",The Bluprint,38th Annual Jazz's Alive,18869
September,25,2021,Legacy Park,"38th Annual Jazz's Alive: Three Swings and A Miss, Bexar Brass, Rat King Cole, Xy!o ft. Chris “Kra” Malacara, The Bluprint, DFOY Music",DFOY Music,38th Annual Jazz's Alive,18869
September,25,2021,St. Anthony Hotel,Johnny P. & the Wiseguys,Johnny P. & the Wiseguys,,18870
September,25,2021,Paper Tiger,TV Girl on Saturday,TV Girl on Saturday,,18871
September,25,2021,The Martini Club,Soul Grammar,Soul Grammar,,18872
September,25,2021,Vibes Event Center,"Horrorpops, Franks and Deans, Skating Polly",Horrorpops,,18873
September,25,2021,Vibes Event Center,"Horrorpops, Franks and Deans, Skating Polly",Franks and Deans,,18873
September,25,2021,Vibes Event Center,"Horrorpops, Franks and Deans, Skating Polly",Skating Polly,,18873
September,26,2021,The Redbird Listening Room,Nathan Hamilton,Nathan Hamilton,,18874
September,27,2021,Tobin Center for the Performing Arts,Squeeze,Squeeze,,18875
September,28,2021,Vibes Event Center,"Volbeat, The Hu, Twin Temple",Volbeat,,18876
September,28,2021,Vibes Event Center,"Volbeat, The Hu, Twin Temple",The Hu,,18876
September,28,2021,Vibes Event Center,"Volbeat, The Hu, Twin Temple",Twin Temple,,18876
September,28,2021,Tobin Center for the Performing Arts,Rodrigo y Gabriela,Rodrigo y Gabriela,,18877
September,28,2021,Aztec Theater,"State Champs, Four Year Strong, Bearings, Real Friends, Just Friends",State Champs,,18878
September,28,2021,Aztec Theater,"State Champs, Four Year Strong, Bearings, Real Friends, Just Friends",Four Year Strong,,18878
September,28,2021,Aztec Theater,"State Champs, Four Year Strong, Bearings, Real Friends, Just Friends",Bearings,,18878
September,28,2021,Aztec Theater,"State Champs, Four Year Strong, Bearings, Real Friends, Just Friends",Real Friends,,18878
September,28,2021,Aztec Theater,"State Champs, Four Year Strong, Bearings, Real Friends, Just Friends",Just Friends,,18878
September,29,2021,Aztec Theater,"Avatar, Magic Sword, Tallah",Avatar,,18879
September,29,2021,Aztec Theater,"Avatar, Magic Sword, Tallah",Magic Sword,,18879
September,29,2021,Aztec Theater,"Avatar, Magic Sword, Tallah",Tallah,,18879
September,30,2021,Tobin Center for the Performing Arts,Kingston Trio,Kingston Trio,,18880
September,30,2021,Vibes Event Center,"Knocked Loose, Gatecreeper, Magnitude, Kharma",Knocked Loose,,18881
September,30,2021,Vibes Event Center,"Knocked Loose, Gatecreeper, Magnitude, Kharma",Gatecreeper,,18881
September,30,2021,Vibes Event Center,"Knocked Loose, Gatecreeper, Magnitude, Kharma",Magnitude,,18881
September,30,2021,Vibes Event Center,"Knocked Loose, Gatecreeper, Magnitude, Kharma",Kharma,,18881
October,1,2021,Aztec Theater,Skillet,Skillet,,18882
October,1,2021,The Rock Box,"Drowning Pool, Ill Nino, Hed (PE), Evolution Empire",Drowning Pool,,18883
October,1,2021,The Rock Box,"Drowning Pool, Ill Nino, Hed (PE), Evolution Empire",Ill Nino,,18883
October,1,2021,The Rock Box,"Drowning Pool, Ill Nino, Hed (PE), Evolution Empire",Hed (PE),,18883
October,1,2021,The Rock Box,"Drowning Pool, Ill Nino, Hed (PE), Evolution Empire",Evolution Empire,,18883
October,2,2021,502 Bar,Nina Diaz (Girl in a Coma),Nina Diaz (Girl in a Coma),,18884
October,2,2021,Gruene Hall,Mike and the Moonpies,Mike and the Moonpies,,18885
October,2,2021,La Rancherita,"Bravos de la Region, Ir La Imagen del Rancho",Bravos de la Region,,18886
October,2,2021,La Rancherita,"Bravos de la Region, Ir La Imagen del Rancho",Ir La Imagen del Rancho,,18886
October,3,2021,Market Square,"X-Factor, Sarah Centeno",X-Factor,,18887
October,3,2021,Market Square,"X-Factor, Sarah Centeno",Sarah Centeno,,18887
October,3,2021,George's Keep,The After Hour,The After Hour,,18888
October,3,2021,The Redbird Listening Room,Chris Beall,Chris Beall,,18889
October,4,2021,Vibes Event Center,August Burns Red,August Burns Red,,18890
October,5,2021,Elmendorf Park,BAAD NEWZ,Baad Newz,,18891
October,6,2021,Paper Tiger,Too Many Zoo X Big Freedia,Too Many Zoo X Big Freedia,,18892
October,7,2021,Aztec Theater,"Elefante, Inspector",Elefante,,18893
October,7,2021,Aztec Theater,"Elefante, Inspector",Inspector,,18893
October,7,2021,Guadalupe County Fairgrounds,Guadalupe County Fair: Clint Taft & the Buck Wild Band,Clint Taft & the Buck Wild Band,Guadalupe County Fair,18894
October,7,2021,Wilson County Expo and Community Center,"Justin Trevino, Myra Rolen",Justin Trevino,,18895
October,7,2021,Wilson County Expo and Community Center,"Justin Trevino, Myra Rolen",Myra Rolen,,18895
October,8,2021,Guadalupe County Fairgrounds,"Guadalupe County Fair: David Beck's Tejano Weekend, Fuzz Doctors",David Beck's Tejano Weekend,Guadalupe County Fair,18896
October,8,2021,Guadalupe County Fairgrounds,"Guadalupe County Fair: David Beck's Tejano Weekend, Fuzz Doctors",Fuzz Doctors,Guadalupe County Fair,18896
October,8,2021,Aztec Theater,"Band of Horses, Jade Bird",Band of Horses,,18897
October,8,2021,Aztec Theater,"Band of Horses, Jade Bird",Jade Bird,,18897
October,8,2021,Whitewater Amphitheater,"Willie Nelson, Pat Green",Willie Nelson,,18898
October,8,2021,Whitewater Amphitheater,"Willie Nelson, Pat Green",Pat Green,,18898
October,8,2021,Gruene Hall,Aaron Watson,Aaron Watson,,18899
October,8,2021,Paper Tiger,Monophonics,Monophonics,,18900
October,8,2021,The Mix,"Donella Drive, Wulfholt, Eyes Like Fire",Donella Drive,,18901
October,8,2021,The Mix,"Donella Drive, Wulfholt, Eyes Like Fire",Wulfholt,,18901
October,8,2021,The Mix,"Donella Drive, Wulfholt, Eyes Like Fire",Eyes Like Fire,,18901
October,8,2021,Majestic Theatre,Morat,Morat,,18902
October,8,2021,John T. Floore's Country Store,Flatland Calvary,Flatland Calvary,,18903
October,8,2021,Hoffbrau at the Quarry,Austin Forrest,Austin Forrest,,18904
October,8,2021,LUNA,Mac Mcintosh,Mac Mcintosh,,18905
October,8,2021,Sam's Burger Joint,"Darden Smith, Walt Wilkins",Darden Smith,,18906
October,8,2021,Sam's Burger Joint,"Darden Smith, Walt Wilkins",Walt Wilkins,,18906
October,8,2021,The Cove,Smokehouse Guitar Army,Smokehouse Guitar Army,,18907
October,8,2021,R&J Music Pavillion,The Spazmatics,The Spazmatics,,18908
October,8,2021,Carver Community Cultural Center,"Mykal Kilgore, Jamison Ross",Mykal Kilgore,,18909
October,8,2021,Carver Community Cultural Center,"Mykal Kilgore, Jamison Ross",Jamison Ross,,18909
October,8,2021,Thirsty Horse Saloon,Brandon Michael,Brandon Michael,,18910
October,8,2021,Fitzgerald's,"Quaranteen, Dragging the Depths, C5",Quaranteen,,18911
October,8,2021,Fitzgerald's,"Quaranteen, Dragging the Depths, C5",Dragging the Depths,,18911
October,8,2021,Fitzgerald's,"Quaranteen, Dragging the Depths, C5",C5,,18911
October,8,2021,The Lonesome Rose,"Bob Ram and the Rams, Jake Penrod",Bob Ram and the Rams,,18912
October,8,2021,The Lonesome Rose,"Bob Ram and the Rams, Jake Penrod",Jake Penrod,,18912
October,8,2021,The Rustic,"Joey Green, Nick Zamora",Joey Green,,18913
October,8,2021,The Rustic,"Joey Green, Nick Zamora",Nick Zamora,,18913
October,8,2021,Bluebonnet Palace,Dylan Wheeler,Dylan Wheeler,,18914
October,8,2021,Jamie's Place,DJ  Texas Papi,DJ  Texas Papi,,18915
October,8,2021,Freheit Country Store,The McBride and the Ride,The McBride and the Ride,,18916
October,8,2021,The Roundup,REO Speedwagon,REO Speedwagon,,18917
October,8,2021,Sancho's Cantina y Mas,Ed Morales and the River,Ed Morales and the River,,18918
October,8,2021,Backyard on Broadway,"Christine Roberts, Kay McKenzie",Christine Roberts,,18919
October,8,2021,Backyard on Broadway,"Christine Roberts, Kay McKenzie",Kay McKenzie,,18919
