Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",Sha,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",Jade Portrait,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",Bobby Ross Avila,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",Strictly Business,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",B.I. Tribe,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",New Def-Nition,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : Sha, Jade Portrait, Bobby Ross Avila, Strictly Business, B.I. Tribe, New Def-Nition, Big Bang Theory",Big Bang Theory,La Semana Alegre,10427
April,22,1993,Freeman Coliseum,"La Semana Alegre : ""Weird Al"" Yankovic, John Campbell, The Jon Geiger, Jay Eric, Randy Pelt Sterling",Weird Al Yankovic,La Semana Alegre,10428
April,22,1993,Freeman Coliseum,"La Semana Alegre : ""Weird Al"" Yankovic, John Campbell, The Jon Geiger, Jay Eric, Randy Pelt Sterling",John Campbell,La Semana Alegre,10428
April,22,1993,Freeman Coliseum,"La Semana Alegre : ""Weird Al"" Yankovic, John Campbell, The Jon Geiger, Jay Eric, Randy Pelt Sterling",The Jon Geiger,La Semana Alegre,10428
April,22,1993,Freeman Coliseum,"La Semana Alegre : ""Weird Al"" Yankovic, John Campbell, The Jon Geiger, Jay Eric, Randy Pelt Sterling",Jay Eric,La Semana Alegre,10428
April,22,1993,Freeman Coliseum,"La Semana Alegre : ""Weird Al"" Yankovic, John Campbell, The Jon Geiger, Jay Eric, Randy Pelt Sterling",Randy Pelt Sterling,La Semana Alegre,10428
April,22,1993,University of Texas at San Antonio-1604 Campus,Tony Campise,Tony Campise,,10429
April,23,1993,Freeman Coliseum,"La Semana Alegre : Triumph, Pat Travers, Jay Aaron",Triumph,La Semana Alegre,10430
April,23,1993,Freeman Coliseum,"La Semana Alegre : Triumph, Pat Travers, Jay Aaron",Pat Travers,La Semana Alegre,10430
April,23,1993,Freeman Coliseum,"La Semana Alegre : Triumph, Pat Travers, Jay Aaron",Jay Aaron,La Semana Alegre,10430
April,23,1993,Freeman Coliseum,"La Semana Alegre : Grupo Flash, Fama, Jean LeGrand Jay Perez, Esmeralda",Grupo Flash,La Semana Alegre,10431
